Dimension,Num Points,Num Classes,Data file,Serial All Time (ms),Serial Initialize Time (ms),Serial Classify Time (ms),Serial Update Time (ms),Serial Last Classify Time (ms),MPI All Time (ms),MPI Initialize Time (ms),MPI Classify Time (ms),MPI Update Time (ms),MPI Last Classify Time (ms),CUDA All Time (ms),CUDA Initialize Time (ms),CUDA Classify Time (ms),CUDA Update Time (ms),CUDA Last Classify Time (ms),Serial output file,MPI output file,CUDA output file
10,10000,2,data/10000_10D.csv,39.5014,0.8993,28.3333,9.2574,0.9971,30.8232,1.3387,21.8515,6.9165,0.3576,392.1044,0.9107,61.3642,9.2634,2.2907,results/10000_10D_2C_serial.csv,results/10000_10D_2C_mpi.csv,results/10000_10D_2C_cuda.csv
10,10000,2,data/10000_10D.csv,26.4054,0.9093,18.4553,6.0198,1.0107,13.6983,0.9267,9.4888,2.6715,0.3588,434.3727,0.9319,39.3155,5.9136,2.1105,results/10000_10D_2C_serial.csv,results/10000_10D_2C_mpi.csv,results/10000_10D_2C_cuda.csv
10,10000,2,data/10000_10D.csv,46.7476,0.9861,33.8544,10.9001,0.9914,23.6251,0.9186,17.1220,4.9431,0.3529,478.7636,0.9092,72.2452,10.8483,2.1678,results/10000_10D_2C_serial.csv,results/10000_10D_2C_mpi.csv,results/10000_10D_2C_cuda.csv
3,10000,5,data/10000_3D.csv,42.7521,3.7231,34.0915,3.9976,0.9249,23.7861,3.7501,17.6661,1.8947,0.4189,376.5232,3.6348,66.5098,5.1303,1.7920,results/10000_3D_5C_serial.csv,results/10000_3D_5C_mpi.csv,results/10000_3D_5C_cuda.csv
3,10000,5,data/10000_3D.csv,56.9486,3.9250,46.4149,5.6088,0.9790,35.8398,5.5592,26.7143,3.0587,0.4339,473.9939,3.6858,86.5208,5.7873,1.7551,results/10000_3D_5C_serial.csv,results/10000_3D_5C_mpi.csv,results/10000_3D_5C_cuda.csv
3,10000,5,data/10000_3D.csv,47.6640,3.7651,38.1808,4.7711,0.9300,26.4797,3.9346,19.7845,2.2724,0.4253,430.2109,3.6558,70.5290,4.5364,1.7725,results/10000_3D_5C_serial.csv,results/10000_3D_5C_mpi.csv,results/10000_3D_5C_cuda.csv
10,10000,5,data/10000_10D.csv,84.8635,5.8012,66.5478,10.3364,2.1622,41.4152,5.6231,30.3552,4.2622,0.9251,378.8292,5.7393,56.8156,10.1080,1.8340,results/10000_10D_5C_serial.csv,results/10000_10D_5C_mpi.csv,results/10000_10D_5C_cuda.csv
10,10000,5,data/10000_10D.csv,59.9007,5.5411,45.2700,6.9414,2.1370,33.7169,5.6121,23.3092,3.6054,0.9427,387.6603,5.8561,38.7512,7.4334,1.8237,results/10000_10D_5C_serial.csv,results/10000_10D_5C_mpi.csv,results/10000_10D_5C_cuda.csv
10,10000,5,data/10000_10D.csv,114.6567,5.6781,92.5524,14.2180,2.1867,60.6203,5.6882,47.2636,6.5029,0.9127,448.1134,5.5282,79.0938,14.1511,1.8790,results/10000_10D_5C_serial.csv,results/10000_10D_5C_mpi.csv,results/10000_10D_5C_cuda.csv
3,10000,10,data/10000_3D.csv,87.9848,12.5088,69.4284,4.1717,1.8583,51.1522,12.9273,35.1727,2.1014,0.8845,432.1839,12.5582,67.4703,4.5026,1.8995,results/10000_3D_10C_serial.csv,results/10000_3D_10C_mpi.csv,results/10000_3D_10C_cuda.csv
